plastic_type,microorganism,degradation_rate,days,temperature,pH
Polyvinyl Chloride,Acidithiobacillus ferrooxidans,55,270,13,9
Polyethylene Terephthalate (PET),Ochrobactrum sp.,18,292,34,8
Nylon,Thermobifida fusca,81,210,23,9
Polyurethane,Thermobifida fusca,75,361,29,7
Polyethylene,Fusarium solani,54,338,37,8
Polyurethane,Streptomyces coelicolor,91,67,22,8
Nylon,Citrobacter koseri,91,10,12,7
Polypropylene,Halomonas titanicae,59,49,35,8
Polyurethane,Ideonella sakaiensis,58,111,35,6
Polycarbonate,Exiguobacterium sp.,32,321,27,7
Polyvinyl Chloride,Pseudomonas aeruginosa,18,219,23,7
Polyethylene Terephthalate (PET),Sulfolobus acidocaldarius,27,57,24,6
Nylon,Streptomyces coelicolor,51,283,12,9
Polyethylene Terephthalate (PET),Exiguobacterium sp.,48,113,10,9
Polycarbonate,Halomonas titanicae,36,133,35,9
Polyurethane,Fusarium solani,25,71,33,8
Polyurethane,Ideonella sakaiensis,98,83,26,6
Polyethylene,Streptomyces coelicolor,97,57,12,7
Polycarbonate,Halomonas titanicae,98,349,23,7
Nylon,Alcanivorax borkumensis,39,271,12,7
Polyethylene,Alcanivorax borkumensis,79,111,22,8
Polyvinyl Chloride,Acidithiobacillus ferrooxidans,37,357,24,8
Polyethylene,Acidithiobacillus ferrooxidans,76,76,27,9
Polystyrene,Halomonas titanicae,86,158,23,8
Nylon,Exiguobacterium sp.,53,20,30,9
Polystyrene,Acidithiobacillus ferrooxidans,21,131,35,9
Polycarbonate,Ideonella sakaiensis,15,329,12,7
Polypropylene,Streptomyces coelicolor,27,122,28,8
Polystyrene,Exiguobacterium sp.,34,41,17,9
Polyvinyl Chloride,Acidithiobacillus ferrooxidans,59,167,13,6
Polyethylene,Bacillus alcalophilus,44,130,13,6
Polypropylene,Pseudomonas aeruginosa,45,23,28,8
Polyethylene,Bacillus alcalophilus,71,279,20,7
Polystyrene,Bacillus subtilis,54,251,10,7
Polyethylene,Alcanivorax borkumensis,85,9,17,9
Polycarbonate,Fusarium solani,84,13,24,8
Polypropylene,Aspergillus niger,25,307,10,6
Polycarbonate,Pseudomonas aeruginosa,84,320,16,9
Polystyrene,Alcanivorax borkumensis,24,52,30,9
Polycarbonate,Exiguobacterium sp.,64,209,29,5
Polyvinyl Chloride,Exiguobacterium sp.,5,38,29,8
Polystyrene,Exiguobacterium sp.,22,100,33,9
Polystyrene,Fusarium solani,63,193,20,6
Polystyrene,Bacillus alcalophilus,86,191,36,5
Nylon,Aspergillus niger,42,51,38,6
Polyethylene,Ideonella sakaiensis,22,141,23,7
Nylon,Acidithiobacillus ferrooxidans,95,168,31,5
Nylon,Exiguobacterium sp.,29,311,25,5
Polyvinyl Chloride,Citrobacter koseri,76,109,23,9
Polypropylene,Bacillus subtilis,17,207,21,7
Polyethylene,Pseudomonas aeruginosa,86,300,26,9
Polycarbonate,Streptomyces coelicolor,78,110,23,8
Polyurethane,Acidithiobacillus ferrooxidans,96,196,19,6
Polystyrene,Citrobacter koseri,20,152,33,6
Polycarbonate,Aspergillus niger,56,243,38,9
Polystyrene,Fusarium solani,22,128,23,6
Polyvinyl Chloride,Ideonella sakaiensis,90,105,27,6
Polystyrene,Ideonella sakaiensis,44,10,31,8
Nylon,Aspergillus niger,43,356,18,7
Polyethylene,Streptomyces coelicolor,81,148,26,5
Polyurethane,Pseudomonas aeruginosa,87,365,15,9
Polyethylene Terephthalate (PET),Ochrobactrum sp.,46,364,17,9
Polystyrene,Streptomyces coelicolor,39,140,35,8
Polycarbonate,Ideonella sakaiensis,50,190,22,8
Nylon,Halomonas titanicae,41,94,27,5
Polyethylene Terephthalate (PET),Pseudomonas aeruginosa,6,229,14,7
Polyurethane,Aspergillus niger,49,63,15,9
Polyethylene Terephthalate (PET),Ideonella sakaiensis,47,340,30,8
Nylon,Ideonella sakaiensis,83,25,28,9
Polyethylene,Exiguobacterium sp.,90,268,13,6
Polyethylene,Aspergillus niger,5,281,16,9
Polypropylene,Ochrobactrum sp.,90,11,13,7
Polyethylene,Aspergillus niger,8,320,34,7
Polypropylene,Ochrobactrum sp.,56,201,20,9
Polyethylene Terephthalate (PET),Pseudomonas aeruginosa,30,126,21,6
Polyvinyl Chloride,Bacillus subtilis,20,306,23,7
Polycarbonate,Halomonas titanicae,89,190,22,8
Polycarbonate,Acidithiobacillus ferrooxidans,39,89,38,9
Polyethylene Terephthalate (PET),Aspergillus niger,44,355,19,6
Polystyrene,Citrobacter koseri,76,116,27,8
Polystyrene,Alcanivorax borkumensis,48,352,25,9
Polyethylene,Sulfolobus acidocaldarius,86,177,14,6
Polycarbonate,Sulfolobus acidocaldarius,19,14,17,8
Polycarbonate,Aspergillus niger,100,257,23,7
Polypropylene,Ochrobactrum sp.,91,209,14,9
Polyvinyl Chloride,Citrobacter koseri,16,281,35,9
Nylon,Bacillus subtilis,27,328,37,7
Polystyrene,Exiguobacterium sp.,40,325,33,5
Polycarbonate,Ochrobactrum sp.,65,105,17,8
Polypropylene,Fusarium solani,24,147,34,7
Polyurethane,Fusarium solani,57,279,35,9
Polypropylene,Pseudomonas aeruginosa,40,9,15,8
Polystyrene,Sulfolobus acidocaldarius,5,118,25,8
Polystyrene,Aspergillus niger,74,94,37,5
Polypropylene,Fusarium solani,37,144,13,9
Nylon,Aspergillus niger,5,289,21,6
Polyethylene Terephthalate (PET),Pseudomonas aeruginosa,44,14,20,5
Polystyrene,Sulfolobus acidocaldarius,74,257,12,5
Polypropylene,Streptomyces coelicolor,13,346,40,6
Polycarbonate,Bacillus subtilis,65,186,21,6
Polypropylene,Alcanivorax borkumensis,39,345,39,5
Polyvinyl Chloride,Alcanivorax borkumensis,2,207,14,8
Polyethylene Terephthalate (PET),Fusarium solani,98,346,15,7
Polyurethane,Alcanivorax borkumensis,96,172,28,7
Nylon,Ideonella sakaiensis,23,270,27,5
Polyethylene,Bacillus subtilis,18,221,25,8
Polyurethane,Ochrobactrum sp.,17,152,32,6
Polyethylene Terephthalate (PET),Streptomyces coelicolor,63,111,20,5
Polyethylene Terephthalate (PET),Bacillus subtilis,87,183,14,9
Polyethylene Terephthalate (PET),Ideonella sakaiensis,34,339,18,8
Polyurethane,Thermobifida fusca,61,72,40,9
Polycarbonate,Ochrobactrum sp.,0,283,12,9
Polyethylene Terephthalate (PET),Ideonella sakaiensis,99,74,39,5
Polypropylene,Aspergillus niger,24,355,40,8
Polyurethane,Pseudomonas aeruginosa,44,215,17,9
Polyethylene,Acidithiobacillus ferrooxidans,48,328,15,8
Polyethylene Terephthalate (PET),Streptomyces coelicolor,97,23,13,7
Polypropylene,Acidithiobacillus ferrooxidans,88,68,21,9
Polycarbonate,Pseudomonas aeruginosa,15,362,21,9
Polyvinyl Chloride,Pseudomonas aeruginosa,97,93,40,8
Polycarbonate,Ideonella sakaiensis,92,321,34,7
Polyethylene,Sulfolobus acidocaldarius,18,324,30,9
Polyethylene Terephthalate (PET),Ideonella sakaiensis,22,63,25,5
Polyethylene,Acidithiobacillus ferrooxidans,82,224,40,8
Polyurethane,Ideonella sakaiensis,24,225,19,8
Polystyrene,Aspergillus niger,15,346,31,9
Polyethylene Terephthalate (PET),Ideonella sakaiensis,53,337,23,7
Polystyrene,Citrobacter koseri,72,103,40,9
Polypropylene,Alcanivorax borkumensis,0,215,40,6
Polyvinyl Chloride,Acidithiobacillus ferrooxidans,41,192,22,9
Nylon,Citrobacter koseri,18,160,18,6
Polyethylene,Sulfolobus acidocaldarius,96,207,16,5
Polycarbonate,Pseudomonas aeruginosa,33,269,21,8
Polyvinyl Chloride,Fusarium solani,79,194,14,8
Polyethylene Terephthalate (PET),Bacillus subtilis,54,152,27,7
Polystyrene,Ochrobactrum sp.,17,237,13,9
Polycarbonate,Alcanivorax borkumensis,33,88,11,5
Polystyrene,Ochrobactrum sp.,88,11,12,6
Polyurethane,Ideonella sakaiensis,44,187,35,7
Polystyrene,Thermobifida fusca,5,214,21,5
Polyurethane,Alcanivorax borkumensis,20,15,12,5
Polypropylene,Aspergillus niger,69,266,13,6
Polycarbonate,Thermobifida fusca,95,297,15,6
Polycarbonate,Halomonas titanicae,47,73,21,8
Nylon,Bacillus alcalophilus,38,52,28,9
Polyethylene Terephthalate (PET),Bacillus alcalophilus,30,128,19,7
Polyurethane,Bacillus alcalophilus,9,28,39,9
Nylon,Halomonas titanicae,29,65,10,7
Polystyrene,Ochrobactrum sp.,17,17,26,5
Polystyrene,Aspergillus niger,59,351,25,6
Nylon,Thermobifida fusca,87,138,18,6
Polycarbonate,Halomonas titanicae,72,319,34,5
Polystyrene,Bacillus alcalophilus,94,229,30,5
Polyethylene,Sulfolobus acidocaldarius,14,254,18,7
Polypropylene,Streptomyces coelicolor,3,210,36,5
Polypropylene,Thermobifida fusca,62,294,32,7
Polyethylene,Acidithiobacillus ferrooxidans,39,231,18,9
Nylon,Pseudomonas aeruginosa,8,241,21,6
Polyethylene,Halomonas titanicae,8,70,32,6
Polyurethane,Aspergillus niger,25,104,18,6
Polyurethane,Aspergillus niger,3,204,24,9
Nylon,Acidithiobacillus ferrooxidans,80,53,11,9
Polyethylene,Citrobacter koseri,15,330,20,8
Polyurethane,Streptomyces coelicolor,14,54,20,7
Polycarbonate,Thermobifida fusca,98,276,17,7
Polyethylene,Fusarium solani,51,335,32,8
Polycarbonate,Alcanivorax borkumensis,68,31,15,6
Polyurethane,Bacillus alcalophilus,4,135,30,7
Polypropylene,Thermobifida fusca,19,58,29,7
Polyurethane,Ideonella sakaiensis,78,105,16,6
Polycarbonate,Fusarium solani,17,266,12,5
Polyvinyl Chloride,Citrobacter koseri,1,10,17,5
Polyethylene Terephthalate (PET),Bacillus alcalophilus,92,253,27,8
Polystyrene,Streptomyces coelicolor,12,295,26,9
Polyethylene,Bacillus subtilis,3,156,20,7
Polyvinyl Chloride,Ideonella sakaiensis,41,158,11,7
Polyurethane,Citrobacter koseri,73,37,34,8
Polypropylene,Ochrobactrum sp.,60,119,30,8
Nylon,Bacillus alcalophilus,94,67,36,7
Polyurethane,Streptomyces coelicolor,7,242,33,6
Polypropylene,Exiguobacterium sp.,66,299,28,6
Polyethylene Terephthalate (PET),Fusarium solani,62,213,16,9
Polyurethane,Fusarium solani,8,308,40,7
Polycarbonate,Alcanivorax borkumensis,93,101,27,7
Nylon,Acidithiobacillus ferrooxidans,10,56,17,7
Polypropylene,Streptomyces coelicolor,98,332,23,7
Polypropylene,Halomonas titanicae,100,324,16,8
Polypropylene,Exiguobacterium sp.,41,239,37,5
Polyethylene Terephthalate (PET),Bacillus subtilis,12,231,30,7
Polyurethane,Sulfolobus acidocaldarius,35,362,37,5
Polyethylene Terephthalate (PET),Bacillus alcalophilus,12,92,36,6
Polyethylene,Ideonella sakaiensis,11,279,13,9
Polystyrene,Exiguobacterium sp.,36,109,26,6
Polystyrene,Streptomyces coelicolor,73,317,14,7
Polyethylene,Ochrobactrum sp.,72,168,21,6
Polyurethane,Pseudomonas aeruginosa,51,300,18,8
Polycarbonate,Bacillus alcalophilus,70,218,35,5
Polyethylene Terephthalate (PET),Aspergillus niger,1,222,29,7
Nylon,Fusarium solani,55,161,22,8
Polypropylene,Ochrobactrum sp.,59,16,34,5
Polypropylene,Acidithiobacillus ferrooxidans,22,278,37,8
Polyurethane,Streptomyces coelicolor,39,57,27,6
Polycarbonate,Bacillus subtilis,63,62,29,7
Polystyrene,Aspergillus niger,84,363,18,6
Polystyrene,Alcanivorax borkumensis,22,327,13,9
Polypropylene,Ideonella sakaiensis,28,242,30,7
Polyurethane,Thermobifida fusca,77,90,36,6
Polyethylene Terephthalate (PET),Citrobacter koseri,89,72,17,7
Polystyrene,Sulfolobus acidocaldarius,50,326,10,5
Polyethylene Terephthalate (PET),Sulfolobus acidocaldarius,68,30,26,7
Polycarbonate,Ochrobactrum sp.,94,359,34,7
Polystyrene,Aspergillus niger,88,288,18,5
Polystyrene,Thermobifida fusca,30,86,29,6
Polyvinyl Chloride,Thermobifida fusca,49,234,22,7
Polystyrene,Fusarium solani,19,235,11,8
Polyethylene,Alcanivorax borkumensis,54,313,22,7
Nylon,Pseudomonas aeruginosa,80,365,18,6
Polyethylene,Fusarium solani,1,265,39,5
Polyurethane,Exiguobacterium sp.,24,287,29,6
Polyurethane,Acidithiobacillus ferrooxidans,12,327,15,9
Polyethylene Terephthalate (PET),Sulfolobus acidocaldarius,91,269,37,7
Polyethylene,Exiguobacterium sp.,69,186,10,7
Polyethylene,Bacillus subtilis,66,131,37,5
Polyethylene,Bacillus alcalophilus,57,291,34,7
Polycarbonate,Halomonas titanicae,98,277,14,8
Polystyrene,Streptomyces coelicolor,81,320,40,8
Nylon,Ideonella sakaiensis,74,351,12,6
Polyethylene Terephthalate (PET),Alcanivorax borkumensis,83,180,13,5
Polyethylene,Fusarium solani,63,290,10,9
Polyethylene,Sulfolobus acidocaldarius,68,163,23,6
Polyvinyl Chloride,Exiguobacterium sp.,82,271,18,5
Polyethylene Terephthalate (PET),Citrobacter koseri,85,96,39,5
Polyethylene,Ochrobactrum sp.,58,262,33,6
Polyethylene Terephthalate (PET),Acidithiobacillus ferrooxidans,59,365,13,6
Polystyrene,Acidithiobacillus ferrooxidans,82,353,27,7
Polyvinyl Chloride,Bacillus alcalophilus,61,288,23,9
Polyethylene Terephthalate (PET),Streptomyces coelicolor,15,83,34,8
Nylon,Streptomyces coelicolor,87,225,13,7
Nylon,Acidithiobacillus ferrooxidans,67,223,34,5
Polyurethane,Acidithiobacillus ferrooxidans,14,118,19,9
Polyvinyl Chloride,Thermobifida fusca,88,192,12,9
Polyvinyl Chloride,Fusarium solani,54,79,32,6
Polyurethane,Thermobifida fusca,34,78,16,9
Polyethylene Terephthalate (PET),Alcanivorax borkumensis,54,147,19,9
Polyvinyl Chloride,Pseudomonas aeruginosa,13,107,22,5
Nylon,Bacillus subtilis,48,271,13,7
Nylon,Citrobacter koseri,82,244,27,9
Polyethylene,Bacillus subtilis,99,73,20,6
Polystyrene,Fusarium solani,6,357,34,7
Polyvinyl Chloride,Exiguobacterium sp.,29,354,13,6
Polyethylene Terephthalate (PET),Halomonas titanicae,82,26,33,9
Polyurethane,Acidithiobacillus ferrooxidans,48,210,23,7
Polyurethane,Aspergillus niger,88,92,27,9
Polyethylene Terephthalate (PET),Pseudomonas aeruginosa,15,125,17,5
Polycarbonate,Alcanivorax borkumensis,50,73,36,7
Polypropylene,Bacillus alcalophilus,71,123,19,6
Polystyrene,Pseudomonas aeruginosa,81,309,14,5
Polyurethane,Acidithiobacillus ferrooxidans,91,184,32,8
Polyvinyl Chloride,Sulfolobus acidocaldarius,79,187,16,6
Polystyrene,Alcanivorax borkumensis,82,198,21,9
Polyvinyl Chloride,Halomonas titanicae,41,78,34,6
Polycarbonate,Sulfolobus acidocaldarius,16,348,12,8
Nylon,Pseudomonas aeruginosa,62,186,35,6
Polystyrene,Aspergillus niger,44,344,13,5
Polyethylene,Aspergillus niger,76,253,19,6
Polyurethane,Thermobifida fusca,6,13,13,7
Polystyrene,Halomonas titanicae,26,299,24,8
Polystyrene,Streptomyces coelicolor,9,76,38,6
Polystyrene,Ideonella sakaiensis,33,51,19,8
Polypropylene,Citrobacter koseri,35,275,30,5
Polystyrene,Acidithiobacillus ferrooxidans,24,149,39,7
Polyvinyl Chloride,Bacillus alcalophilus,5,219,31,9
Nylon,Acidithiobacillus ferrooxidans,23,122,25,6
Polycarbonate,Streptomyces coelicolor,17,211,24,5
Polyethylene Terephthalate (PET),Bacillus subtilis,86,280,28,8
Polystyrene,Thermobifida fusca,5,26,38,8
Polyurethane,Thermobifida fusca,28,173,29,5
Polystyrene,Bacillus subtilis,24,156,28,6
Polyurethane,Ochrobactrum sp.,54,238,27,9
Polyvinyl Chloride,Bacillus subtilis,80,82,35,6
Polyurethane,Aspergillus niger,45,356,21,7
Polyethylene,Aspergillus niger,23,273,34,6
Polyethylene Terephthalate (PET),Exiguobacterium sp.,74,68,25,7
Nylon,Sulfolobus acidocaldarius,25,44,10,8
Polyurethane,Pseudomonas aeruginosa,97,61,25,7
Polyurethane,Bacillus alcalophilus,27,123,11,9
Nylon,Halomonas titanicae,2,349,33,5
Polyethylene Terephthalate (PET),Pseudomonas aeruginosa,74,196,24,7
Polystyrene,Acidithiobacillus ferrooxidans,37,330,16,6
Polyurethane,Exiguobacterium sp.,60,323,37,7
Nylon,Aspergillus niger,77,111,10,8
Polyethylene,Thermobifida fusca,50,258,14,7
Polyethylene,Halomonas titanicae,89,89,19,9
Polyvinyl Chloride,Aspergillus niger,47,198,31,7
Nylon,Ideonella sakaiensis,20,282,30,9
Polyvinyl Chloride,Bacillus alcalophilus,53,200,13,6
Polyethylene,Sulfolobus acidocaldarius,55,99,23,8
Polyethylene Terephthalate (PET),Ochrobactrum sp.,93,27,22,5
Polystyrene,Pseudomonas aeruginosa,58,89,10,6
Nylon,Pseudomonas aeruginosa,71,146,25,6
Polycarbonate,Bacillus subtilis,50,182,32,5
Polyethylene,Streptomyces coelicolor,19,257,18,7
Polyethylene,Bacillus subtilis,95,189,31,7
Polycarbonate,Ideonella sakaiensis,85,240,25,7
Polypropylene,Halomonas titanicae,58,359,28,8
Polyethylene,Citrobacter koseri,70,196,24,6
Polyurethane,Bacillus subtilis,8,297,35,9
Polyethylene Terephthalate (PET),Ochrobactrum sp.,0,165,23,5
Nylon,Exiguobacterium sp.,28,307,29,6
Polycarbonate,Bacillus subtilis,62,271,19,7
Polyurethane,Bacillus subtilis,71,8,30,5
Polycarbonate,Citrobacter koseri,55,38,40,9
Nylon,Streptomyces coelicolor,67,114,21,6
Polyvinyl Chloride,Bacillus alcalophilus,34,339,37,6
Nylon,Exiguobacterium sp.,2,56,10,8
Polypropylene,Bacillus subtilis,6,359,30,6
Nylon,Ideonella sakaiensis,26,138,26,6
Nylon,Thermobifida fusca,0,102,18,9
Polypropylene,Sulfolobus acidocaldarius,90,334,32,9
Polyethylene Terephthalate (PET),Ochrobactrum sp.,79,177,28,5
Polyethylene,Citrobacter koseri,70,169,34,7
Nylon,Sulfolobus acidocaldarius,43,339,27,9
Polypropylene,Citrobacter koseri,86,286,37,5
Polyurethane,Ideonella sakaiensis,40,261,16,6
Polyvinyl Chloride,Sulfolobus acidocaldarius,74,223,18,5
Polyvinyl Chloride,Citrobacter koseri,41,199,31,5
Nylon,Acidithiobacillus ferrooxidans,32,211,35,5
Polyethylene Terephthalate (PET),Sulfolobus acidocaldarius,49,287,30,5
Polyethylene Terephthalate (PET),Streptomyces coelicolor,62,180,21,9
Polyurethane,Alcanivorax borkumensis,99,250,16,7
Nylon,Exiguobacterium sp.,36,231,23,5
Polyvinyl Chloride,Halomonas titanicae,58,23,24,8
Polyethylene Terephthalate (PET),Bacillus alcalophilus,80,48,24,6
Nylon,Acidithiobacillus ferrooxidans,98,109,15,6
Polycarbonate,Fusarium solani,47,296,30,6
Polyethylene Terephthalate (PET),Aspergillus niger,4,6,23,6
Polypropylene,Ideonella sakaiensis,47,38,11,6
Polycarbonate,Ideonella sakaiensis,95,169,17,5
Polyethylene,Bacillus subtilis,2,356,40,7
Polyethylene Terephthalate (PET),Thermobifida fusca,46,283,22,8
Polyvinyl Chloride,Ochrobactrum sp.,61,203,32,9
Polystyrene,Halomonas titanicae,98,325,15,8
Polycarbonate,Aspergillus niger,13,313,14,9
Polyethylene,Ideonella sakaiensis,62,273,14,9
Polyurethane,Exiguobacterium sp.,60,244,34,8
Polyurethane,Halomonas titanicae,30,327,10,5
Polyvinyl Chloride,Sulfolobus acidocaldarius,94,47,18,6
Polyethylene Terephthalate (PET),Sulfolobus acidocaldarius,16,249,15,5
Nylon,Fusarium solani,23,79,29,6
Polyethylene Terephthalate (PET),Aspergillus niger,22,110,35,7
Polyvinyl Chloride,Ideonella sakaiensis,81,13,39,9
Polyurethane,Bacillus alcalophilus,49,365,16,8
Polyethylene Terephthalate (PET),Ideonella sakaiensis,77,90,18,7
Polyurethane,Exiguobacterium sp.,78,342,14,6
Polycarbonate,Sulfolobus acidocaldarius,78,348,23,5
Polyethylene,Bacillus subtilis,69,280,14,8
Nylon,Alcanivorax borkumensis,26,221,17,9
Polycarbonate,Streptomyces coelicolor,14,73,16,7
Polyurethane,Streptomyces coelicolor,49,234,22,9
Polyurethane,Citrobacter koseri,35,260,22,6
Polystyrene,Bacillus alcalophilus,7,113,17,9
Polystyrene,Ideonella sakaiensis,78,46,20,5
Polycarbonate,Streptomyces coelicolor,2,274,37,7
Polypropylene,Citrobacter koseri,61,43,35,7
Polycarbonate,Aspergillus niger,46,208,27,5
Polystyrene,Sulfolobus acidocaldarius,76,349,34,9
Polyurethane,Ochrobactrum sp.,97,103,28,5
Polyvinyl Chloride,Thermobifida fusca,87,124,15,8
Polycarbonate,Acidithiobacillus ferrooxidans,95,10,31,5
Polyurethane,Sulfolobus acidocaldarius,60,329,11,9
Polyvinyl Chloride,Acidithiobacillus ferrooxidans,31,187,37,5
Polyvinyl Chloride,Bacillus subtilis,93,31,22,6
Polystyrene,Alcanivorax borkumensis,12,156,32,5
Polycarbonate,Halomonas titanicae,0,60,34,5
Polyethylene Terephthalate (PET),Streptomyces coelicolor,33,249,37,9
Nylon,Aspergillus niger,61,270,35,8
Polystyrene,Acidithiobacillus ferrooxidans,78,217,20,8
Polystyrene,Thermobifida fusca,77,2,10,9
Polyethylene Terephthalate (PET),Pseudomonas aeruginosa,92,24,33,9
Nylon,Ideonella sakaiensis,97,206,11,9
Polyurethane,Streptomyces coelicolor,81,320,39,6
Polypropylene,Ideonella sakaiensis,70,199,26,7
Polycarbonate,Thermobifida fusca,92,356,17,5
Polypropylene,Bacillus alcalophilus,30,114,11,9
Polyurethane,Bacillus subtilis,63,280,15,9
Polyethylene,Halomonas titanicae,24,155,40,9
Polystyrene,Streptomyces coelicolor,37,165,31,8
Nylon,Ideonella sakaiensis,13,222,14,9
Polystyrene,Aspergillus niger,7,91,25,5
Polyvinyl Chloride,Streptomyces coelicolor,90,167,17,9
Polystyrene,Acidithiobacillus ferrooxidans,53,207,28,5
Polystyrene,Bacillus alcalophilus,1,282,25,6
Polyurethane,Pseudomonas aeruginosa,80,65,22,7
Polyurethane,Exiguobacterium sp.,100,4,35,8
Polyurethane,Fusarium solani,77,157,40,5
Polypropylene,Pseudomonas aeruginosa,88,249,29,6
Polyvinyl Chloride,Citrobacter koseri,55,257,16,7
Polyethylene,Streptomyces coelicolor,93,235,40,7
Polyethylene,Sulfolobus acidocaldarius,92,306,25,7
Polyurethane,Alcanivorax borkumensis,83,74,32,5
Nylon,Sulfolobus acidocaldarius,84,187,25,6
Polypropylene,Pseudomonas aeruginosa,60,62,38,9
Polyethylene Terephthalate (PET),Acidithiobacillus ferrooxidans,21,337,21,6
Nylon,Sulfolobus acidocaldarius,34,164,23,6
Polycarbonate,Aspergillus niger,100,56,33,6
Polycarbonate,Sulfolobus acidocaldarius,15,111,27,5
Nylon,Halomonas titanicae,49,218,36,5
Polyurethane,Exiguobacterium sp.,42,240,37,5
Polyethylene Terephthalate (PET),Streptomyces coelicolor,16,21,27,6
Polyethylene Terephthalate (PET),Thermobifida fusca,79,141,25,5
Polypropylene,Bacillus subtilis,57,265,29,7
Polyethylene Terephthalate (PET),Sulfolobus acidocaldarius,1,139,25,5
Polycarbonate,Bacillus alcalophilus,3,70,22,8
Polyvinyl Chloride,Bacillus subtilis,84,118,35,5
Polyurethane,Exiguobacterium sp.,38,198,38,5
Polyethylene Terephthalate (PET),Ideonella sakaiensis,97,205,18,5
Polypropylene,Thermobifida fusca,93,214,35,5
Polycarbonate,Acidithiobacillus ferrooxidans,5,56,37,8
Polyvinyl Chloride,Exiguobacterium sp.,80,287,18,9
Polystyrene,Sulfolobus acidocaldarius,88,293,22,5
Polystyrene,Exiguobacterium sp.,68,175,38,7
Polyvinyl Chloride,Bacillus subtilis,68,347,13,8
Polycarbonate,Alcanivorax borkumensis,19,128,18,9
Polypropylene,Acidithiobacillus ferrooxidans,63,325,24,5
Polyvinyl Chloride,Sulfolobus acidocaldarius,15,292,23,9
Polyurethane,Aspergillus niger,50,288,28,7
Polyurethane,Pseudomonas aeruginosa,36,226,21,8
Polystyrene,Halomonas titanicae,72,64,30,8
Polyethylene Terephthalate (PET),Fusarium solani,68,48,35,9
Polypropylene,Ochrobactrum sp.,41,202,34,5
Polystyrene,Citrobacter koseri,56,337,15,6
Polyethylene Terephthalate (PET),Acidithiobacillus ferrooxidans,65,60,12,8
Polyethylene Terephthalate (PET),Exiguobacterium sp.,8,257,35,6
Polyethylene,Aspergillus niger,99,65,34,8
Polyurethane,Streptomyces coelicolor,85,239,31,5
